post_title,post_content,movie_link_1,movie_content_1,movie_link_2,movie_content_2,movie_link_3,movie_content_3,movie_link_4,movie_content_4,user_id
ギター・ベース おすすめ動画紹介,自分が役にたった動画です。みなさんも是非見てください！#ベース,https://youtu.be/FdwhIDlvd6M,音の鳴りに直結すると言われているラッカー塗装については非常に勉強になる動画です。,https://youtu.be/PbC1JCdtzzY,ベーシストなら気になるフィンガーランプを解説してくれています！,https://youtu.be/2JNWF32f4jA,名機スティングレイの解説動画です。わかりやすく説明されています。,https://www.youtube.com/watch?v=sbPdkGQzXds,機材紹介、音作り非常に参考になります。,1
ベーシストYouTuberぴんはげ 名演4選,トップベーシストYouTueberぴんはげさんの演奏動画で特に頭に残っている動画を４つ選んでみました。ご覧ください！ #ベース #弾いてみた,https://www.youtube.com/watch?v=jHAg8OPOzfk,ハーモニクスの使い方が上手いです。,https://www.youtube.com/watch?v=iyPf7qWABTQ,夜に駆けるのソロベースアレンジ。ソロのところが、気持ちいいです。,https://youtu.be/W9Rtd2UnRnY,音選びのセンスが光っています。景色が浮かび上がります。,https://www.youtube.com/watch?v=31XBna0mm5M,それぞれのベースの使い方が上手い。参考になります。,1
ベース弾いてみた ベスト4,特に上手いと思った弾いて動画を選びました！ #ベース,https://youtu.be/sCXsjwA7_Yk,音の歪具合が最高にカッコいい。音も太くて良い！,https://www.youtube.com/watch?v=ZYuYi6yHYh8,演奏が丁寧&グルーヴが気持ちいい。,https://www.youtube.com/watch?v=PF660tQlVq8,単純にカッコいい。惚れました。。,https://www.youtube.com/watch?v=gpUJoVCFumo,イントロのスラップが上手過ぎる。音作りもカッコいい。,1
羊文学 入門,私が今注目しているバンド羊文学を紹介します！ #バンド #羊文学,https://youtu.be/p6uYq0_4ct8,先ずは、このライブを見るべし！ライブならではの臨場感と繊細さを感じられます。,https://www.youtube.com/watch?v=2v8iq3tI0gM,"上のライブにもあった""1999""のMV。1999年にタイムスリップしたような感覚になります。",https://www.youtube.com/watch?v=16jL0eThQmM,歌詞と映像の美しさをMVで表現しています。,https://www.youtube.com/watch?v=0_6ZiXlKUeg&t=965s,藝大でのライブ。音の響き方が特徴的で、拡がっていく感じがあります！,4
俺的神アニメOPするぜ,映像、音楽、演出全てが完璧なアニメOPを紹介します！ #アニメ,https://youtu.be/v8bZVdTgXoY,呪術廻戦のOP。それぞれのキャラに寄り添った演出とバンドサウンドと暗い世界観が非常にマッチしていてとにかくカッコいいですよね。,https://youtu.be/SVk-RNR6ujo,D.C.～ダ・カーポ～の第１期OP。yozuca* の歌声が古き良きアニソンの感じがして、とっても良いです！俺の青春。。。,https://youtu.be/XjHqfhOcK_0,sumikaの曲調が作品の雰囲気とマッチしていて好きです！,https://youtu.be/ah1zyO3ob_A,夜のダークな感じと鮮やか炎の赤の対比がとても印象的で綺麗です。,2
2020年心が震えたスポーツ名場面4選,個人的に心が震えたスポーツ名場面を4つ選びました！是非、みなさんも見て下さい！ #2020年スポーツ名場面,https://www.youtube.com/watch?v=osxRYKeoWTo,洗練された堀口恭司のカーフキックとリベンジ成功と悔しがる朝倉海は見応えありです！,https://www.youtube.com/watch?v=XxxlkINbMls,コロナ渦での羽生結弦が魅せてくれた演技は感動ものでした！,https://www.youtube.com/watch?v=EyEKsLI4ZEQ&t=2s,パリーグ新人王の平とホームラン王の浅村との力と力のガチンコ勝負は痺れます！,https://www.youtube.com/watch?v=tw-G2nMnM8A,サムベネットのシャンゼリゼでの最終スプリントは印象に残りました。,3
せろりんねを紹介したい！,おしゃれな感性とガジェット好きが光るせろりんねちゃんを紹介します！自作PCのパーツ紹介からPCデスク周りのおしゃれな配置までとても参考になって面白いです！ #YouTuber,https://youtu.be/RG786wrqzjI,PC周辺環境を紹介してくれてます。どの機材も買いたくなるものばかりで、機器の配置もとてもおしゃれです！,https://youtu.be/L9-w4Dtt91g,光るものは心をくすぐる！機器の説明もしているので、参考になると思います！,https://youtu.be/rTt21jQ2NGk,低予算でPCを組むという比較的現実感があると思います！どういう観点でどういうセンスで選んでいるのか、気になりませんか？？,https://youtu.be/5RWv0sGKx88,せろりんねは歌も上手い！上手いだけでなく、とても儚げな声が魅力的でう！小夜子の曲も相まって世界に浸れると思います。,2
美味しくて、絶対失敗しないシフォンケーキ,シフォンケーキを始めて作る人も、とってもわかりやすい動画をまとめました！ #お菓子作り,https://youtu.be/CTiEGmBc_sU,絶対失敗しないシフォンケーキの作り方学べます！,https://youtu.be/csXO6TgKfGo,はるあんちゃんの作るシフォンケーキは幸せな気持ちにさせてくれます,https://youtu.be/7ND7_SFkkjI,ふわっふわっのシフォンケーキが出来ること間違いなし,https://youtu.be/ba2uVi8WQ6U,シフォンケーキをお友達にプレゼントしてみたくなりました,5
簡単！美味しい！りんごタルトタタン,りんごの美味しさが味わえる、タルトタタン。簡単で美味しい動画をまとめてみました。 #お菓子作り,https://youtu.be/mXHlqsFIjyQ,パイシートで作るタルトタタン！とっても簡単で美味しさ間違いなし！,https://youtu.be/oiZovowXr2w,フレンチシェフからとっても簡単にタルトタタン学べます！,https://youtu.be/Oxwa9I7kkYk,アルフォート生地で作るタルトタタン！超簡単で美味しい,https://youtu.be/sCJW3oy9ogo,はるあんちゃんの作るタルトタタン！美味しくてとろけます,5
絶品！柚子レシピ（柚子胡椒）,沢山の柚子を頂いたので、作って良かった柚子レシピです。,https://youtu.be/vuG4APQhbyE,はるあんちゃんの作る柚子胡椒！絶品です。,https://youtu.be/Hqj0p5JVm0c,とっても丁寧に解説してくださっていて、簡単に作れました。,https://youtu.be/lxe82Gx7ohM,青ゆずと青唐辛子の旬が重なる7〜9月頃にしか作れない、柚子胡椒の作り方です。,https://youtu.be/WmppH5bwo2I,絶品です！柚子胡椒の香りがこちらまで香ってきます！,5
絶品！柚子レシピ（柚子ピール）,沢山の柚子を頂いたので、作って良かった柚子レシピです。 #お菓子作り,https://youtu.be/CKA_D7GzGXA,柚子ピールが沢山、簡単に作れました。美味しかった！,https://youtu.be/FxtDka-B_GQ,少量でも簡単に作れました。,https://youtu.be/KrZ04dZ-Uj4,見ただけで、作り方がわかります。（音声なし）,https://youtu.be/f4gghx-Dibc,女性が丁寧に解説しています。,5
絶品！柚子レシピ（柚子ジャム）,沢山の柚子を頂いたので、作って良かった柚子レシピです。 #お菓子作り,https://youtu.be/L01J9MKyw-g,柚子ジャムの煮るポイントがしっかりつかめます。,https://youtu.be/q98UJRlz7iA,レンジで簡単に美味しい柚子ジャムが作れました。,https://youtu.be/t_0Tfts5Z0Y,柚子本来の苦味が味わえます。とっても美味しい,https://youtu.be/WnwO5FWh9IM,とってもわかりやすく説明してくれています。,5
バレンタインの手作りチョコはこれで決まり,美味しくて簡単で大量に作れます．友チョコにはこれで決まり #お菓子作り,https://youtu.be/kr2S0obo_Wk,牛乳で簡単に作れる生チョコです。絶品！,https://youtu.be/FpfhQnDWVhg,材料２つで作れる簡単で絶品な生チョコです。,https://youtu.be/jdwBQBAH5gw,とってもおしゃれなチョコレートですバレンタインデーはこのチョコレートで決まり！,https://youtu.be/tnqpvrCux6c,フランボワーズのかわいいハートのチョコレート-簡単おススメ-,5
バターを使わないパンレシピ,バターは高価なので、バターを使わないパン作りのレシピを集めてみました。,https://youtu.be/YPXJWR1tGhc,はるあんちゃんの作るバターを使わないパンです。ほったらかしおくだけで簡単！,https://youtu.be/iM4_LfUiXTE,ノンオイル、ノンバターで赤ちゃんにもおすすめのパンです。,https://youtu.be/SvM3bN2GJVU,シンプルで飽きのこないフランスパンです。,https://youtu.be/ZD_dou58-XI,簡単で美味しい丸パンです。夫婦でパン作りしている素敵な動画です。,5
短時間で初めての人でも作れるパンレシピ,パン作りは手間と時間がかかるイメージですが、簡単で短時間で作れる動画を集めてみました。,https://youtu.be/dRzOoO7Jb08,30分で作れるホームベーカリーよりも早くできるパン！一度お試しを！,https://youtu.be/Js0HQxpHGig,初めてパン作りする人でも簡単に作れました。,https://youtu.be/kw08s3Jpv_Y,捏ねないパンでも、とっても柔らかくて美味しいパンでした！,https://youtu.be/kw08s3Jpv_Y,はるあんちゃんの捏ねないで短時間で作れます。柔らかくてモチモチのパンです。,5
ハイジの大好きな白パンレシピ動画！,ふわふわでやわらかいなパン代表の白パン！ハイジの白パン動画を集めてみました。,https://youtu.be/zlhDbzX0gG4,柔らかくてもっちりしているハイジの白パン,https://youtu.be/z7ADhCNXliI,はるあんちゃんの作るハイジの白パン。幸せな気持ちになります,https://youtu.be/2510tumVVZ8,とってもわかりやすくまとめられた動画で、簡単に美味しく作れます。,https://youtu.be/dMHLrkmIew4,"6個,55円で作れる白パン！捏ねないで作れました！",5
